Pruszowice, wrocławski, Dolnośląskie;Pruszowice;51-217;51.1875643;17.1341209
Mokronos Górny, wrocławski, Dolnośląskie;Mokronos Górny;;51.0759604;16.9191114
Nowosiedlice, gm. Dobroszyce, oleśnicki, Dolnośląskie;Nowosiedlice;;51.2504704;17.3621296
Smolec, Smolec, wrocławski, dolnośląskie;Smolec;;51.0747049;16.8839452
Prawocice, trzebnicki, Dolnośląskie;Prawocice;;51.2873555;17.2578263
Kałowice, trzebnicki, Dolnośląskie;Kałowice;;51.335105;17.1452112
Byków, wrocławski, Dolnośląskie;Byków;;51.1892645;17.2367251
Żmigródek, trzebnicki, Dolnośląskie;Żmigródek;55-140;51.486014;16.915811
Bagno, trzebnicki, Dolnośląskie;Bagno;;51.3392058;16.8203816
Sądrożyce, oleśnicki, Dolnośląskie;Sądrożyce;;51.34414;17.47505
Grabownica, gm. Krośnice, milicki, Dolnośląskie;Grabownica;;51.5289376;17.3823625
Głuchów Dolny, trzebnicki, Dolnośląskie;Głuchów Dolny;;51.282505;17.118703
Stoszyce, wrocławski, Dolnośląskie;Stoszyce;;51.0746971;16.7791097
Ligota Wielka, oleśnicki, Dolnośląskie;Ligota Wielka;;51.1701681;17.3903444
Sadków, oleśnicki, dolnośląskie;Sadków;;51.3047563;17.3150544
Bartków, oleśnicki, dolnośląskie;Bartków;;51.3156604;17.3437905
Pietrzykowice, wrocławski, dolnośląskie;Pietrzykowice;;51.055225;16.88306
Radakowice, średzki, dolnośląskie;Radakowice;;51.128276;16.74056
Smolna, oleśnicki, dolnośląskie;;56-420;51.1555465;17.5202779
Chrząstawa Wielka, wrocławski, dolnośląskie;Chrząstawa Wielka;55-001;51.0948751;17.2982583
Piotrowice, średzki, dolnośląskie;Piotrowice;;51.033176;16.676963
Budczyce, trzebnicki, dolnośląskie;Budczyce;;51.3330091;17.1818463
ul. Długa, Wróblowice, średzki, dolnośląskie;Wróblowice;;51.1575618;16.7835683
Sokołowice, oleśnicki, dolnośląskie;Sokołowice;;51.24327;17.44625
Bogusławice, oleśnicki, dolnośląskie;Bogusławice;;51.2038732;17.4566184
Sosnówka, oleśnicki, dolnośląskie;Sosnówka;;51.316055;17.455637
Raków, wrocławski, dolnośląskie;Raków;;51.1694618;17.2779114
Złotów, trzebnicki, dolnośląskie;;55-106;51.35638;17.28252
Łany, wrocławski, dolnośląskie;Łany;;51.0833919;17.1588279
Diamentowa, Kamień, wrocławski, dolnośląskie;Kamień;;51.1662532;17.2183163
Główna, Brzezinki, oławski, dolnośląskie;Brzezinki;;51.0892434;17.3705976
Szewce, trzebnicki, dolnośląskie;Szewce;;51.2214868;16.9702776
Korzeńsko, trzebnicki, dolnośląskie;Korzeńsko;;51.5443129;16.8707137
Parkowa, Psary, trzebnicki, dolnośląskie;Psary;51-188;51.1873358;17.0320313
Wojczyce, średzki, dolnośląskie;Wojczyce;;51.1413889;16.6852778
Ramułtowice, średzki, dolnośląskie;Ramułtowice;;51.095001;16.726766
Strupina, trzebnicki, dolnośląskie;Strupina;;51.389661;16.811129
Bagno, trzebnicki, dolnośląskie;Bagno;;51.3392058;16.8203816
Łozina, wrocławski, dolnośląskie;Łozina;;51.2329899;17.1749245
Borowa, wrocławski, dolnośląskie;Borowa;;51.1905872;17.2800031
Dobroszyce, oleśnicki, dolnośląskie;Dobroszyce;;51.26554;17.34535
Nadolice Wielkie, wrocławski, dolnośląskie;Nadolice Wielkie;55-03;51.0845173;17.2367799
Bukowice, milicki, dolnośląskie;;56-321;51.3961111;17.3033333
Pisarzowice, średzki, dolnośląskie;Pisarzowice;;51.2077214;16.8516465
Białe Błoto, oleśnicki, dolnośląskie;Białe Błoto;;51.3325426;17.3541628
Wały, wołowski, dolnośląskie;Wały;;51.2623729;16.7753342
Uraz, trzebnicki, dolnośląskie;Uraz;;51.2445144;16.8533398
Marcinowo, trzebnicki, dolnośląskie;Marcinowo;;51.3245792;17.0237069
Działki budowlane przy granicy Osolina. Obok las, Osolin, trzebnicki, dolnośląskie;Osolin;;51.3423726;16.8467905
Kościelna, Lubnów, trzebnicki, dolnośląskie;Lubnów;;51.2628931;16.8854641
Chrząstawa Mała, wrocławski, dolnośląskie;Chrząstawa Mała;;51.081932;17.281738
Topolowa, Zawonia, trzebnicki, dolnośląskie;Zawonia;;51.3156477;17.196555
